chr - mmX X 0 166650296 red
chr - mmY Y 0 15902555 red
chr - mm1 1 0 197195432 red
chr - mm2 2 0 181748087 red
chr - mm3 3 0 159599783 red
chr - mm4 4 0 155630120 red
chr - mm5 5 0 152537259 red
chr - mm6 6 0 149517037 red
chr - mm7 7 0 152524553 red
chr - mm8 8 0 131738871 red
chr - mm9 9 0 124076172 red
chr - mm10 10 0 129993255 red
chr - mm11 11 0 121843856 red
chr - mm12 12 0 121257530 red
chr - mm13 13 0 120284312 red
chr - mm14 14 0 125194864 red
chr - mm15 15 0 103494974 red
chr - mm16 16 0 98319150 red
chr - mm17 17 0 95272651 red
chr - mm18 18 0 90772031 red
chr - mm19 19 0 61342430 red
band mm1 qA1 qA1 0 8918386 gpos100
band mm1 qA2 qA2 8918386 12386647 gneg
band mm1 qA3 qA3 12386647 20314102 gpos33
band mm1 qA4 qA4 20314102 22295965 gneg
band mm1 qA5 qA5 22295965 31214352 gpos100
band mm1 qB qB 31214352 43601000 gneg
band mm1 qC1.1 qC1.1 43601000 54996715 gpos66
band mm1 qC1.2 qC1.2 54996715 56483113 gneg
band mm1 qC1.3 qC1.3 56483113 59951375 gpos75
band mm1 qC2 qC2 59951375 65896965 gneg
band mm1 qC3 qC3 65896965 75310818 gpos33
band mm1 qC4 qC4 75310818 80760943 gneg
band mm1 qC5 qC5 80760943 88192931 gpos33
band mm1 qD qD 88192931 100579579 gneg
band mm1 qE1.1 qE1.1 100579579 103552375 gpos33
band mm1 qE1.2 qE1.2 103552375 104543306 gneg
band mm1 qE2.1 qE2.1 104543306 113461693 gpos100
band mm1 qE2.2 qE2.2 113461693 114948091 gneg
band mm1 qE2.3 qE2.3 114948091 126839272 gpos100
band mm1 qE3 qE3 126839272 129812068 gneg
band mm1 qE4 qE4 129812068 140712318 gpos66
band mm1 qF qF 140712318 148639772 gneg
band mm1 qG1 qG1 148639772 153098966 gpos100
band mm1 qG2 qG2 153098966 154089897 gneg
band mm1 qG3 qG3 154089897 158549091 gpos100
band mm1 qH1 qH1 158549091 161521886 gneg
band mm1 qH2.1 qH2.1 161521886 165485613 gpos33
band mm1 qH2.2 qH2.2 165485613 166972011 gneg
band mm1 qH2.3 qH2.3 166972011 171431204 gpos33
band mm1 qH3 qH3 171431204 177376795 gneg
band mm1 qH4 qH4 177376795 183322386 gpos33
band mm1 qH5 qH5 183322386 189763443 gneg
band mm1 qH6 qH6 189763443 197195432 gpos33
band mm10 qA1 qA1 0 12754055 gpos100
band mm10 qA2 qA2 12754055 17659461 gneg
band mm10 qA3 qA3 17659461 23545948 gpos33
band mm10 qA4 qA4 23545948 33356759 gneg
band mm10 qB1 qB1 33356759 41205409 gpos100
band mm10 qB2 qB2 41205409 48072977 gneg
band mm10 qB3 qB3 48072977 55921626 gpos100
band mm10 qB4 qB4 55921626 63770276 gneg
band mm10 qB5.1 qB5.1 63770276 67694600 gpos100
band mm10 qB5.2 qB5.2 67694600 68185141 gneg
band mm10 qB5.3 qB5.3 68185141 74562168 gpos100
band mm10 qC1 qC1 74562168 88787845 gneg
band mm10 qC2 qC2 88787845 95655414 gpos33
band mm10 qC3 qC3 95655414 98598657 gneg
band mm10 qD1 qD1 98598657 111352712 gpos100
band mm10 qD2 qD2 111352712 124106767 gneg
band mm10 qD3 qD3 124106767 129993255 gpos33
band mm11 qA1 qA1 0 13021480 gpos100
band mm11 qA2 qA2 13021480 17206956 gneg
band mm11 qA3.1 qA3.1 17206956 21857485 gpos100
band mm11 qA3.2 qA3.2 21857485 25577908 gneg
band mm11 qA3.3 qA3.3 25577908 30228437 gpos100
band mm11 qA4 qA4 30228437 36274125 gneg
band mm11 qA5 qA5 36274125 43249918 gpos100
band mm11 qB1.1 qB1.1 43249918 47900447 gneg
band mm11 qB1.2 qB1.2 47900447 49760658 gpos33
band mm11 qB1.3 qB1.3 49760658 59991822 gneg
band mm11 qB2 qB2 59991822 62782139 gpos33
band mm11 qB3 qB3 62782139 70688038 gneg
band mm11 qB4 qB4 70688038 73943408 gpos33
band mm11 qB5 qB5 73943408 81849307 gneg
band mm11 qC qC 81849307 90220259 gpos100
band mm11 qD qD 90220259 102311634 gneg
band mm11 qE1 qE1 102311634 110217533 gpos66
band mm11 qE2 qE2 110217533 121843856 gneg
band mm12 qA1.1 qA1.1 0 17766671 gpos100
band mm12 qA1.2 qA1.2 17766671 21320005 gneg
band mm12 qA1.3 qA1.3 21320005 26205839 gpos66
band mm12 qA2 qA2 26205839 31980007 gneg
band mm12 qA3 qA3 31980007 39530843 gpos33
band mm12 qB1 qB1 39530843 44416677 gneg
band mm12 qB2 qB2 44416677 45305011 gpos33
band mm12 qB3 qB3 45305011 52411679 gneg
