hsX 0 4999999 149717.0000,1921470.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38173.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25970.0000,12903.0000
hsX 5000000 9999999 135789.0000,181622.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107762.0000,0.0000,0.0000,0.0000
hsX 10000000 14999999 32723.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2474.0000,2498.0000,1253.0000,0.0000,0.0000,1252.0000,0.0000,0.0000,0.0000,2245.0000,1253.0000,0.0000,0.0000
hsX 15000000 19999999 16128.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5691.0000,0.0000,0.0000,0.0000,0.0000,4472.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hsX 20000000 24999999 16493.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8371.0000,5498.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hsX 25000000 29999999 12520.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1481.0000,7301.0000,1759.0000,1480.0000,0.0000,1924.0000,2256.0000,1920.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hsX 30000000 34999999 22267.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2439.0000,2357.0000,1263.0000,1239.0000,0.0000,2367.0000,0.0000,0.0000,0.0000,0.0000,1215.0000,0.0000,0.0000
hsX 35000000 39999999 77534.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1175.0000,1346.0000,0.0000,6239.0000,0.0000,0.0000,0.0000,0.0000,1815.0000,0.0000,0.0000
hsX 40000000 44999999 16827.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12508.0000,0.0000,3506.0000,7506.0000,4371.0000,9373.0000,3617.0000,0.0000,0.0000,1027.0000,1052.0000,0.0000,0.0000
hsX 45000000 49999999 1695788.0000,2810.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1443.0000,1617.0000,4585.0000,11558.0000,5305.0000,1575.0000,9648.0000,1562.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hsX 50000000 54999999 1193758.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3810.0000,2189.0000,0.0000,2489.0000,0.0000,0.0000,0.0000,2235.0000,0.0000,0.0000,1054.0000,0.0000,0.0000
hsX 55000000 59999999 100019.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2528.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hsX 60000000 64999999 66001.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2265.0000,4543.0000,0.0000,1266.0000,2054.0000,3226.0000,1571.0000,0.0000,3924.0000,0.0000,0.0000,0.0000
hsX 65000000 69999999 6755.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2870.0000,0.0000,1190.0000,4022.0000,2390.0000,1882.0000,5231.0000,1073.0000,1430.0000,1318.0000,0.0000,0.0000
hsX 70000000 74999999 298250.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7222.0000,9894.0000,7278.0000,1329.0000,6032.0000,6017.0000,1334.0000,10753.0000,1334.0000,14323.0000,0.0000,3033.0000,0.0000
hsX 75000000 79999999 1292.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3666.0000,1366.0000,6151.0000,0.0000,2430.0000,1675.0000,0.0000,2221.0000,1437.0000,0.0000,0.0000,0.0000,1455.0000
hsX 80000000 84999999 18113.0000,1781.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7999.0000,2631.0000,0.0000,1308.0000,0.0000,0.0000,0.0000,0.0000,4197.0000,2628.0000,0.0000
hsX 85000000 89999999 2080.0000,1570303.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2066.0000,4257.0000,3121.0000,1034.0000,1038.0000,0.0000,0.0000,2749.0000,4975.0000,0.0000,0.0000
hsX 90000000 94999999 10669.0000,1488331.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1504.0000,5901.0000,8463.0000,4222.0000,1113.0000,0.0000,1384.0000,1372.0000,1401.0000,0.0000,1399.0000,0.0000,2778.0000
hsX 95000000 99999999 6325.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4299.0000,6619.0000,3503.0000,3856.0000,3130.0000,7545.0000,2445.0000,3111.0000,3248.0000,3851.0000,0.0000,0.0000,0.0000
